free_text,label_id,category,source
lấy ví dụ chứng minh tầm quan trọng của việc sử dụng tổng hợp tài nguyên nước ở một lưu vực sông?,0,Other,olm
trình bày đặc điểm của vỏ trái đất đối với đời sống và hoạt động của con người,0,Other,olm
Nêu khái niệm định luật pitago,0,Other,olm
1 phần 5 + 1 phần 5 ^3+1 phần 5 ^5+...+1 phần 5 ^2025 thu gọn phép tính,0,Toán học,olm
câu 7: Tím giá trị của x biết: (x+1)+(x+2)+...+(x+100)=5750,0,Other,olm
Tìm giá trị của x biết: (x+1)+(x+2)+...+(x+100)=5750,0,Other,olm
C) ( x mũ2 - 9)×(10+5x)=0,0,Other,olm
Làm gấp giúp mik vs ak,0,Other,olm
C) ( x-18)-2 mũ 3=-23,0,Other,olm
Làm nhanh giúp mình với ak,0,Other,olm
"Khi xếp số học sinh khối 6 của một trường thành 10 hàng, 12 hàng, 15 hàng thì đều không thừa một học sinh nào. Tính số học sinh khối 6 của trường đó biết số học sinh trong khoảng từ 400 đến 450 học sinh",0,Toán học,olm
ta làm cách nào để tính diện tích hình tròn,0,Toán học,olm
where does he have lunch,0,Other,olm
The street was very ________ during the festival because many people came to watch the fireworks,0,Other,olm
clean busy bright wide,0,Other,olm
\(\frac{5}{7} . \frac{5}{11} + \frac{5}{7} . \frac{6}{11} - \frac{5}{7} . \frac{4}{11}\),0,Other,olm
"\(1 , 2 - 3^{2} + 7 , 5\)",0,Other,olm
Thực hiện phép tính bằng cách tính hợp lý,0,Toán học,olm
"A, 1/4/23+5/21-4/23+0,5+16/21",0,Other,olm
"B, 21/47+9/45+26/47+4/5",0,Other,olm
"C, 15/12+5/13-3/12-18/13",0,Other,olm
"Đ, 13/25+6/41-38/25+35/41-1/2",0,Other,olm
Cíu mình với sos,0,Other,olm
play | dance | exhibit | sing | draw,0,Other,olm
perfrom | take | paint | act | compose,0,Other,olm
1. Who was she............. with at the party last night?,0,Other,olm
2. Mozart............ his first piece of music when he was fiv years old,0,Other,olm
3. She usually............ in water colur,0,Other,olm
4. We all............. 'Happy Birthday' to her,0,Other,olm
5. Most pupils learn................. a musical instrument,0,Other,olm
6. We................. many of his works at our gallery so far,0,Other,olm
7. Rosie........... an elephant and coloured it in,0,Other,olm
8. My brother enjous................. photos of the nature and landscape,0,Other,olm
9. The band.......... live at the Central Park tomorrow,0,Other,olm
10. Ellis Pike was chosen............... the part of the lawyer in the film,0,Other,olm
comedian | pianist | actress | drum | composer |,0,Other,olm
singer | musician | poet | clown | artist,0,Other,olm
1. They danced to the beat of the,0,Other,olm
2. Truyen Kieu is written by the great.............Nguyen Du,0,Other,olm
3. Celine Dion is Canadian........ . She sang the song My hear will go on,0,Other,olm
4. Mozart was an Austrian classical..... . He wrote over 600 piếc of music,0,Other,olm
cứu tôi vs mn ơi,0,Other,olm
The blue dress is more expensive than the red dress,0,Other,olm
Write a paragraph of 70 to 80 words about your favorite genre of music,0,Other,olm
Cách để ghi nhớ công thức tốt hơn?,0,Other,olm
No one (know).......whether or not Bill (succeed)...... this time,0,Other,olm
What là cái j v ???,0,Other,olm
"viết một BÀI VĂN kể lại hoạt động ""Trồng Cây Xanh Vì Môi Trường"" (kh chép mạng nha...) khoảng 3 mặt giấy thi ạ",0,Other,olm
em cần trong tối nay cảm ơn mọi người nhiều!!,0,Other,olm
viết bài văn kể lại hoạt động giúp đỡ người dân vùng bão lũ(kh chép mạng ạ) bài dài khoảng 3 mặt giấy thi,0,Other,olm
em cần trong tối nay mong mọi người giúp ạ!,0,Other,olm
vì sao ếch có thể sống trên cạn và dưới nc,0,Other,olm
"That morning, just me and you With azure views for two Our promises bound by sights we long outgrew",0,Other,olm
